dron	rxcui	omop
DRON_00020660	370732	40053963
DRON_00020661	370733	40002842
DRON_00020662	370734	40002843
DRON_00020663	370736	40001980
DRON_00020664	370737	40003457
DRON_00020665	370738	40003424
DRON_00020666	370739	40097538
DRON_00020667	370740	40097556
DRON_00020668	370741	40097558
DRON_00020669	370742	40097555
DRON_00020670	370743	40003464
DRON_00020671	370744	40005653
DRON_00020672	370745	40005662
DRON_00020673	370747	40005810
DRON_00020674	370748	40003689
DRON_00020675	370749	40003687
DRON_00020676	370751	40003691
DRON_00020677	370752	40003693
DRON_00020678	370754	40003695
DRON_00020679	370755	40002616
DRON_00020680	370756	40002618
DRON_00020681	370757	40002621
DRON_00020682	370759	40002705
DRON_00020683	370760	40004081
DRON_00020684	370761	40003555
DRON_00020685	370762	40003568
DRON_00020686	370763	40004070
DRON_00020687	370764	40002669
DRON_00020688	370765	40002670
DRON_00020689	370767	40002741
DRON_00020690	370768	40002757
DRON_00020691	370770	40004117
DRON_00020692	370771	40004118
DRON_00020693	370772	40004842
DRON_00020694	370773	40097577
DRON_00020695	370775	40004962
DRON_00020696	370777	40005028
DRON_00020697	370778	40097589
DRON_00020698	370779	40097596
DRON_00020699	370780	40097597
DRON_00020700	370781	40006509
DRON_00020701	370782	40006512
DRON_00020702	370784	40081134
DRON_00020703	370785	40006573
DRON_00020704	370786	40006721
DRON_00020705	370787	40006742
DRON_00020706	370788	40006743
DRON_00020707	370789	40006965
DRON_00020708	370790	40006994
DRON_00020709	370791	40006791
DRON_00020710	370793	40007042
DRON_00020711	370794	40007127
DRON_00020712	370795	40007128
DRON_00020713	370796	40002112
DRON_00020714	370797	40092298
DRON_00020715	370798	40092295
DRON_00020716	370799	40007169
DRON_00020717	370800	40092353
DRON_00020718	370801	40092354
DRON_00020719	370802	40092355
DRON_00020720	370803	40005910
DRON_00020721	370804	40005906
DRON_00020722	370805	40005907
DRON_00020723	370806	40005865
DRON_00020724	370807	40005862
DRON_00020725	370808	40005863
DRON_00020726	370809	40005864
DRON_00020727	370810	40005925
DRON_00020728	370811	40092773
DRON_00020729	370812	40092774
DRON_00020730	370813	40092373
DRON_00020731	370814	40092374
DRON_00020732	370815	40006092
DRON_00020733	370816	40006090
DRON_00020734	370817	40006160
DRON_00020735	370818	40006185
DRON_00020736	370819	40006203
DRON_00020737	370820	40007794
DRON_00020738	370821	40007792
DRON_00020739	370822	40007795
DRON_00020740	370823	40007813
DRON_00020741	370824	40093182
DRON_00020742	370825	40092816
DRON_00020743	370826	40008282
DRON_00020744	370827	40008288
DRON_00020745	370828	40093251
DRON_00020746	370829	40006230
DRON_00020747	370830	40007818
DRON_00020748	370831	40007828
DRON_00020749	370832	40007830
DRON_00020750	370833	40007837
DRON_00020751	370834	40007840
DRON_00020752	370835	40007851
DRON_00020753	370836	40093603
DRON_00020754	370837	40093625
DRON_00020755	370838	40008434
DRON_00020756	370839	40008436
DRON_00020757	370840	40008439
DRON_00020758	370842	40008441
DRON_00020759	370844	40008458
DRON_00020760	370845	40093996
DRON_00020761	370846	40093997
DRON_00020762	370847	40007374
DRON_00020763	370848	40007379
DRON_00020764	370849	40007429
DRON_00020765	370850	40007371
DRON_00020766	370851	40007372
DRON_00020767	370852	40007448
DRON_00020768	370853	40094052
DRON_00020769	370854	40094070
DRON_00020770	370855	40094071
DRON_00020771	370857	40094072
DRON_00020772	370858	40094061
DRON_00020773	370859	40007649
DRON_00020774	370860	40007724
DRON_00020775	370862	40008927
DRON_00020776	370863	40008920
DRON_00020777	370864	40008928
DRON_00020778	370865	40007729
DRON_00020779	370866	40009077
DRON_00020780	370867	40009078
DRON_00020781	370869	40009079
DRON_00020782	370872	40009148
DRON_00020783	370873	40009146
DRON_00020784	370874	40009149
DRON_00020785	370875	40008344
DRON_00020786	370876	40008345
DRON_00020787	370877	40009192
DRON_00020788	370878	40009225
DRON_00020789	370879	40009226
DRON_00020790	370881	40009223
DRON_00020791	370882	40009469
DRON_00020792	370883	40009193
DRON_00020793	370884	40009213
DRON_00020794	370885	40009212
DRON_00020795	370886	40009214
DRON_00020796	370887	40009215
DRON_00020797	370888	40009217
DRON_00020798	370889	40009218
DRON_00020799	370890	40009219
DRON_00020800	370891	40009222
DRON_00020801	370892	40009224
DRON_00020802	370893	40009564
DRON_00020803	370894	40009649
DRON_00020804	370895	40009659
DRON_00020805	370896	40009660
DRON_00020806	370897	40009661
DRON_00020807	370898	40009662
DRON_00020808	370899	40009675
DRON_00020809	370900	40009676
DRON_00020810	370902	40009805
DRON_00020811	370903	40008566
DRON_00020812	370904	40009664
DRON_00020813	370906	40009665
DRON_00020814	370907	40009668
DRON_00020815	370908	40009669
DRON_00020816	370909	40009674
DRON_00020817	370911	40008592
DRON_00020818	370912	40008594
DRON_00020819	370914	40014056
DRON_00020820	370915	40014094
DRON_00020821	370916	40094474
DRON_00020822	370917	40094475
DRON_00020823	370918	40094481
DRON_00020824	370919	40014343
DRON_00020825	370921	40014341
DRON_00020826	370922	40014342
DRON_00020827	370923	40014385
DRON_00020828	370924	40014403
DRON_00020829	370925	40010396
DRON_00020830	370926	40010473
DRON_00020831	370927	40010475
DRON_00020832	370928	40010752
DRON_00020833	370930	40054719
DRON_00020834	370931	40011169
DRON_00020835	370932	40011436
DRON_00020836	370933	40011514
DRON_00020837	370934	40011714
DRON_00020838	370935	40011515
DRON_00020839	370936	40094916
DRON_00020840	370937	40094917
DRON_00020841	370938	40094919
DRON_00020842	370939	40009857
DRON_00020843	370940	40009890
DRON_00020844	370942	40009849
DRON_00020845	370943	40012311
DRON_00020846	370944	40012316
DRON_00020847	370945	40003505
DRON_00020848	370946	40012644
DRON_00020849	370947	40012274
DRON_00020850	370948	40012293
DRON_00020851	370949	40012313
DRON_00020852	370950	40012600
DRON_00020853	370951	40012605
DRON_00020854	370952	40012606
DRON_00020855	370953	40010227
DRON_00020856	370954	40010226
DRON_00020857	370955	40010253
DRON_00020858	370957	40010222
DRON_00020859	370958	40010560
DRON_00020860	370959	40010621
DRON_00020861	370960	40010619
DRON_00020862	370961	40010568
DRON_00020863	370962	40095268
DRON_00020864	370963	40012390
DRON_00020865	370964	40012388
DRON_00020866	370965	40011287
DRON_00020867	370966	40095275
DRON_00020868	370967	40012660
DRON_00020869	370970	40095691
DRON_00020870	370972	40095709
DRON_00020871	370973	40012752
DRON_00020872	370974	40013064
DRON_00020873	370975	40013066
DRON_00020874	370976	40013068
DRON_00020875	370977	40069477
DRON_00020876	370978	40069480
DRON_00020877	370979	40096061
DRON_00020878	370980	40096062
DRON_00020879	370981	40014633
DRON_00020880	370982	40014637
DRON_00020881	370983	40014634
DRON_00020882	370984	40014673
DRON_00020883	370985	40009900
DRON_00020884	370986	40096077
DRON_00020885	370987	40096094
DRON_00020886	370988	40096082
DRON_00020887	370990	40009951
DRON_00020888	370991	40010316
DRON_00020889	370992	40010699
DRON_00020890	370995	40010698
DRON_00020891	370996	40010998
DRON_00020892	370997	40010997
DRON_00020893	370998	40011030
DRON_00020894	370999	40011643
DRON_00020895	371000	40096153
DRON_00020896	371001	40096446
DRON_00020897	371002	40008942
DRON_00020898	371003	40011857
DRON_00020899	371004	40012100
DRON_00020900	371005	40011852
DRON_00020901	371006	40096453
DRON_00020902	371007	40096468
DRON_00020903	371008	40096470
DRON_00020904	371009	40012151
DRON_00020905	371010	40012157
DRON_00020906	371011	40012155
DRON_00020907	371012	40012159
DRON_00020908	371013	40096501
DRON_00020909	371014	40013138
DRON_00020910	371015	40013144
DRON_00020911	371016	40096512
DRON_00020912	371017	40013158
DRON_00020913	371018	40015326
DRON_00020914	371019	40015300
DRON_00020915	371020	40015015
DRON_00020916	371021	40015295
DRON_00020917	371022	40015304
DRON_00020918	371023	40015294
DRON_00020919	371024	40010065
DRON_00020920	371026	40013471
DRON_00020921	371027	40013545
DRON_00020922	371028	40013499
DRON_00020923	371029	40013505
DRON_00020924	371030	40013515
DRON_00020925	371031	40096526
DRON_00020926	371032	40096529
DRON_00020927	371034	40016812
DRON_00020928	371035	40096814
DRON_00020929	371036	40017114
DRON_00020930	371037	40017116
DRON_00020931	371038	40017117
DRON_00020932	371039	40017169
DRON_00020933	371040	40017172
DRON_00020934	371041	40017176
DRON_00020935	371042	40017127
DRON_00020936	371043	40017466
DRON_00020937	371044	40017794
DRON_00020938	371045	40017793
DRON_00020939	371046	40017799
DRON_00020940	371047	40017800
DRON_00020941	371048	40013451
DRON_00020942	371049	40018865
DRON_00020943	371050	40018163
DRON_00020944	371051	40018863
DRON_00020945	371052	40019096
DRON_00020946	371053	40019099
DRON_00020947	371054	40018864
DRON_00020948	371056	40019100
DRON_00020949	371057	40019149
DRON_00020950	371058	40017873
DRON_00020951	371059	40018165
DRON_00020952	371061	40018149
DRON_00020953	371062	40018160
DRON_00020954	371064	40018161
DRON_00020955	371065	40019429
DRON_00020956	371066	40019455
DRON_00020957	371067	40019457
DRON_00020958	371068	40019490
DRON_00020959	371069	40019489
DRON_00020960	371070	40097235
DRON_00020961	371071	40097241
DRON_00020962	371072	40097265
DRON_00020963	371073	40019531
DRON_00020964	371074	40019799
DRON_00020965	371075	40019800
DRON_00020966	371076	40019535
DRON_00020967	371077	40019853
DRON_00020968	371078	40020188
DRON_00020969	371079	40020189
DRON_00020970	371080	40020187
DRON_00020971	371081	40020203
DRON_00020972	371082	40020204
DRON_00020973	371083	40020206
DRON_00020974	371084	40015038
DRON_00020975	371085	40015037
DRON_00020976	371086	40015063
DRON_00020977	371087	40020213
DRON_00020978	371088	40020214
DRON_00020979	371089	40020217
DRON_00020980	371090	40015080
DRON_00020981	371091	40013695
DRON_00020982	371092	40013697
DRON_00020983	371093	40097615
DRON_00020984	371094	40091989
DRON_00020985	371095	40091991
DRON_00020986	371096	40097659
DRON_00020987	371097	40097661
DRON_00020988	371098	40097637
DRON_00020989	371099	40091653
DRON_00020990	371100	40091660
DRON_00020991	371101	40091674
DRON_00020992	371102	40097679
DRON_00020993	371103	40015092
DRON_00020994	371104	40015379
DRON_00020995	371105	40015428
DRON_00020996	371106	40092022
DRON_00020997	371107	40092404
DRON_00020998	371108	40015774
DRON_00020999	371109	40015825
DRON_00021000	371110	40015826
DRON_00021001	371111	40092455
DRON_00021002	371112	40092483
DRON_00021003	371113	40016167
DRON_00021004	371114	40016168
DRON_00021005	371115	40016166
DRON_00021006	371116	40016484
DRON_00021007	371117	40016483
DRON_00021008	371118	40016485
DRON_00021009	371119	40092837
DRON_00021010	371121	40016858
