concept_id|concept_code
1115588|319781
1183554|6054
19092849|6579
702865|6760
1351541|42375
19124297|6370
1391575|236617
1391440|236466
1759270|8984
19060797|90737
19092373|6531
19041222|8196
19027413|7930
19034281|8133
734275|8134
19011437|140480
19124330|6379
501343|26744
19009145|29528
909165|29545
1709170|29561
19072051|29584
19072052|29590
19089496|228833
19126896|7094
19051865|42405
19125279|6704
1301152|6711
1401581|266604
19072089|29996
19072122|30005
19127551|7421
19019088|7424
1330974|350489
19098649|259393
19098790|259472
19056505|236730
19092377|6536
1368671|52769
1524769|7779
724816|7781
19001308|67187
1304643|283838
19003999|68149
19009116|29523
1136422|356887
1189697|231049
920113|15080
19113040|52106
19071904|28817
19054875|22906
963747|50110
19021512|19928
19021822|19943
1558471|47579
19068821|2622
19051096|21311
19048026|21373
19034280|18753
19055254|235579
19101677|38865
1515249|72610
19002829|10634
1502855|10635
19054337|226724
581480|59768
1325608|338036
1714165|120608
1501700|10582
1137529|36117
1537655|36118
712615|115698
19044747|39972
19102107|39990
934431|18789
927478|34347
19023819|33303
19081320|59743
19031360|35216
1712549|115552
19043154|38893
19011094|117896
19036909|19041
19036946|19044
19018603|19075
1781733|60212
942799|38685
19043291|39371
1311276|306674
543291|39385
743670|39786
19078938|57954
19039512|36669
19042099|38372
19042155|38377
1307863|11170
19008336|11204
906914|11002
19003953|68139
979096|58295
1717002|139896
19125634|69893
19072155|307387
744740|39993
19102108|39994
744798|39998
1515774|31994
19078424|57047
19119253|57048
19100440|37815
19100451|37840
1335471|18867
19018546|18997
19036731|19008
19100577|38077
19000305|10498
902950|10637
19041746|37985
19041781|37999
19041786|38025
942350|38413
19023286|33253
723344|33272
970011|9945
1702559|10612
19008782|10638
19003296|10639
19015787|32009
19015812|32022
1135710|8160
537411|360487
19008972|106467
19023842|33309
1314273|121191
733523|183379
19126544|70618
19113002|494799
19080468|314688
40170759|69256
40170774|892565
40172704|899916
40172710|900758
40172722|899470
40172730|901199
40167327|867333
40172774|901011
40172778|900731
40172798|899576
40172610|901346
40173620|966692
40173636|905301
40171783|897499
40167409|867325
40169661|892338
40170786|32533
40170235|895365
40168848|465062
40171939|899363
40226438|1011049
40222440|995703
40222444|993449
40222461|995699
40222465|995707
40228735|1013913
40225012|1006250
40222285|995720
40222289|995768
40226727|1012534
40222115|994438
40222116|995743
40172858|900743
40162104|852659
40167608|4325
40168421|885185
40168423|885187
40168425|885189
40228383|1014391
40228147|1014774
40228152|1037042
40228445|1014340
40228461|1014766
40222391|995505
40222408|995738
40226736|1011021
40226742|321064
40226747|1010965
40226753|1009342
40227488|1011633
40224159|1000082
40238211|1098183
40171105|298983
40171110|892628
40171114|895279
40171120|892484
40234201|1085787
40171087|891668
40165678|32809
40225727|1006506
40169074|885750
40164828|857921
40165651|860189
40174420|904606
40162087|851898
40167333|867321
40162033|852503
40162037|852276
40176125|967960
40176129|972365
40165636|861634
40170858|892575
40170862|891658
40170868|892332
40162029|852355
40226579|1012892
40183759|991260
40238145|1098353
40222500|995600
40170973|895527
40170979|895195
40162170|852209
40165377|860168
42899429|1307049
42899430|1307601
42899431|1311615
42899432|1311061
42899434|1311610
42899436|1309764
42899437|1310458
42899438|1310514
42899440|1311186
42899441|1307951
42899442|1305579
42899443|1307847
42899444|1307939
42899445|1310097
42899894|1310033
42899895|1311666
42899896|1307663
42899897|1310107
42899898|1311586
42899899|1309309
42899900|1310084
42899901|1310095
42899902|1307671
42899903|1310227
42899904|1307855
42899905|1309452
42898180|1305515
42898181|1309235
42899449|1311225
42899450|1309465
42899451|1309723
42899454|1310845
42899461|1311289
42899462|1309699
42899463|1310584
42899464|1309434
42899465|1307759
42899466|1307948
42899467|1310056
42899234|1307837
42900536|1311633
42900537|1309339
42900538|1310046
42900543|1307721
42900544|1306057
42900548|1306108
42900549|1306066
42900550|1307718
42900551|1307815
42900552|1311085
42900554|1309513
42900555|1311313
42900556|1307149
42900559|1309248
42900560|1311631
42900561|1307106
42900563|1311567
42900564|1309391
42900565|1307097
42900567|1309390
42900569|1311566
42900570|1311640
42900571|1311105
42900572|1309224
42900573|1305532
42900574|1309314
42900581|1305637
42900584|1310520
42899473|1307879
42899474|1310157
42899475|1309701
42899476|1311070
42899477|1309435
42899478|1309750
42899479|1307711
42899480|1310159
42899482|1310189
42899483|1310161
42899484|1309719
42899485|1309704
42899486|1310078
42899487|1311197
42899488|1310045
42899489|1311404
42899490|1307618
42904212|1358171
42904213|1358173
42904214|1358175
42904215|1358176
42904216|1358182
42904217|1358473
42904218|1358474
42904219|1358475
42904220|1358476
42904221|1358477
42899024|1311589
42899025|1309389
42899026|1311507
42899027|1307684
42899028|1307809
42899029|1309338
42899030|1310229
42899031|1307673
42899032|1307596
42899033|1306235
42899035|1311483
42899036|1309419
42899984|1310036
42899985|1309813
42899986|1310032
42899987|1309682
42899988|1309737
42899989|1307970
42899990|1309716
42899992|1309829
42899993|1309952
42899996|1309956
42899998|1307643
42899999|1307587
42899038|1309690
42899039|1309423
42899040|1307637
42899041|1307644
42899042|1310088
42899044|1310083
42899045|1310134
42899050|1310085
42899052|1310593
42899053|1309669
43526081|1376097
43526082|1376349
43526095|1376342
43526097|1375924
43526106|1420962
43525842|1372013
43525843|1372247
43525844|1372248
43525845|1372249
43525846|1372250
43525847|1372251
43525849|1372253
43525850|1372255
43525851|1372258
43525852|1372259
43525853|1372260
43525854|1372262
43525855|1372263
43525856|1372264
43525857|1372271
43525858|1372272
43526080|1420982
43526116|1420961
43526161|1376096
43526169|1376099
43526172|1373723
43526173|1420964
43526174|1376148
43526175|1376212
43526176|1420963
43526150|1420983
43526154|1376095
43526191|1376501
43526192|1420965
43526193|1376452
43526194|1376150
43526195|1376344
43526196|1376345
43526694|1423272
43526697|1423781
43526710|1423921
43526717|1423803
43526721|1421886
43533024|1428845
43533025|1428846
43533026|1428847
43533027|1428848
43533028|1428849
43533029|1428850
43533030|1428851
43533031|1428852
43533032|1428853
43533033|1428854
43533034|1428855
43533035|1428856
43533036|1428857
43533037|1428858
43533038|1428859
43533039|1428860
43533040|1428861
43533041|1428862
43533042|1428863
43533043|1428864
43533044|1428865
43560250|1433497
43560253|1435392
43560254|1435103
43560260|1432990
43560261|1435397
43560263|1432797
43560118|1432479
43560119|1433642
43560120|1435519
43560121|1435109
43560122|1433641
43560130|1433191
43560131|1435099
43560132|1432296
43560136|1435102
43560137|1433887
43560142|1432988
43560146|1435393
43560150|1435390
43560153|1435389
43560155|1433760
43560158|1432292
43526819|1421478
43526826|1423797
43526849|1421621
43526850|1423782
43526875|1424266
43526876|1422485
43560280|1435097
43560311|1435104
43560319|1432991
43560320|1435638
43560323|1435107
43560324|1432293
43560325|1432978
43560329|1432472
43560330|1435282
43560331|1435572
43560342|1433347
43560343|1433190
43560345|1432992
43560347|1432993
43533097|1431152
43533098|1431153
43533099|1431224
43533100|1431225
43533101|1431226
43533102|1431227
43533103|1431284
43533104|1431285
43533105|1431306
43533106|1431309
43533107|1431310
43533108|1431478
43533109|1431479
43533110|1431705
44785077|1483557
43532495|1427012
43532513|1426143
43532514|1425331
44785881|1489300
43532516|1424551
43532536|1424850
43532954|1431253
43532827|1428880
43532830|1428928
43532543|1426600
44507718|1441653
44507720|1482641
43532862|1429567
43527215|1421877
43527216|1421461
44506706|1441273
43560402|1433249
43560412|1435164
43560417|1432508
43014261|1368301
40005906|370804
43014263|1370687
43014269|1370199
43012088|1363559
43012115|1363782
43014289|1370014
43014291|1370292
43014293|1370201
40008320|437517
40008321|370558
40008325|370559
40008336|370561
40008343|376166
40008344|370875
40008345|370876
40008346|437698
40008347|392939
40018158|376455
40018159|373971
40018160|371062
40018161|371064
40018163|371050
40018164|393355
40018165|371059
40001297|377743
40001299|377475
40001300|452306
40001301|439406
40001302|452355
40001303|440917
40001304|440913
40001305|440890
40001306|440893
40001307|452696
40001308|440804
40001309|440903
40001310|375554
40001311|373785
40001312|451588
40001313|377742
40001314|372604
40011714|370934
40011716|375353
40011717|370601
40011731|377583
40011732|377480
40007820|374489
40007822|446681
40007823|437497
40005862|370807
40005863|370808
40005864|370809
40005865|370806
40007126|377200
40007127|370794
40007128|370795
40007130|384990
40011733|370602
40010775|437613
40010793|142096
40011773|378454
40011775|450893
40011776|450890
40011777|378458
40011778|378462
40016898|371128
40016909|376065
40016911|378347
40013376|376880
40016928|439194
40011756|441028
40019799|371074
40019800|371075
40020990|446445
40016292|446311
40000256|385250
40000267|372608
40012510|452337
40012511|437645
40012512|376150
40002616|370755
40002618|370756
40002621|370757
40002623|371801
40002624|371802
40002625|437250
40002626|437252
40002627|437254
40002628|379203
40002629|450654
40002630|374815
40002632|374816
40005682|370506
40006295|437313
40006296|437311
40006297|437309
40006301|437684
40008928|370864
40008929|379806
40008931|370570
40013527|402446
40013529|379294
40005937|437381
40005945|450630
40005946|371305
40005947|371306
40005948|450622
40005949|451451
40005951|451475
40009526|376997
40009527|376410
40009529|450610
40007524|437425
40001706|441155
40001707|375097
40001708|440243
40001713|378256
40012150|437837
40012151|371009
40006339|376998
40009158|375754
40009168|385073
40012513|376964
40012517|376958
40012518|375666
40009842|370614
40013170|440712
40001864|371642
40001865|371641
40001867|447121
40001873|437122
40002861|374750
40000598|372621
40000599|375143
40000600|237783
40014077|374836
40008941|405788
40008942|371002
40008976|437441
40013383|402831
40030002|376871
40026955|377314
40026957|377662
40026966|371637
40026968|393256
40034106|376981
40030913|438703
40030914|379386
40030915|376484
40025649|371491
40025650|371492
40025651|446373
40025652|438543
40025653|438536
40025654|376213
40033424|439377
40026665|375724
40026666|371634
40026668|371635
40026670|438694
40026671|438696
40014797|379173
40024330|376671
40024331|376054
40024332|446229
40014799|437117
40014800|451532
40019090|378340
40019091|377396
40019094|376457
40019096|371052
40019099|371053
40019100|371056
40019103|377442
40020345|438106
40020346|371159
40020025|376047
40020026|375788
40020027|450709
40020028|375381
40020029|376189
40020036|376343
40020037|371211
40029252|371675
40030933|377657
40030934|379387
40030936|376485
40022971|374826
40022973|450795
40022975|371418
40018748|371222
40019802|373219
40022963|374827
40022968|374791
40023127|237915
40023129|438320
40034403|375513
40012674|392969
40012679|376337
40034676|375807
40034677|371916
40012717|476665
40012718|485245
40043065|440688
40043066|440685
40043079|372396
40043080|238826
40012576|437765
40012577|379357
40045059|378495
40045078|375536
40045088|375122
40026557|438796
40026558|438803
40034565|371848
40034575|377679
40034576|371849
40034817|378819
40034819|371772
40034820|371771
40022029|374672
40022036|374666
40019951|376597
