Moiety	UNII	DrugBank (auto)	Label (auto)	DrugBank (Bioportal)	Label (Bioportal)	DrugBank (INCHI)	Label (INCHI)
DEFEROXAMINE	J06Y7MXW4D	DB00746	Deferoxamine	DB00746	Deferoxamine	DB00746	Deferoxamine
DEGARELIX	SX0XJI3A11	DB06699	Degarelix				
DELAVIRDINE	DOL5F9JD3E	DB00705	Delavirdine	DB00705	Delavirdine		
DEMECLOCYCLINE	5R5W9ICI6O	DB00618	Demeclocycline	DB00618	Demeclocycline		
DENILEUKIN DIFTITOX	25E79B5CTM	DB00004	Denileukin diftitox				
DENOSUMAB	4EQZ6YO2HI						
DERMATOPHAGOIDES FARINAE	PR9U2YPF3Q						
DERMATOPHAGOIDES PTERONYSSINUS	57L1Z5378K						
DESERPIDINE	9016E3VB47	DB01089	Deserpidine	DB01089	Deserpidine		
DESFLURANE	CRS35BZ94Q	DB01189	Desflurane	DB01189	Desflurane		
DESIPRAMINE	TG537D343B	DB01151	Desipramine	DB01151	Desipramine	DB01151	Desipramine
DESIRUDIN	U0JZ726775						
DESLORATADINE	FVF865388R	DB00967	Desloratadine	DB00967	Desloratadine		
DESMOPRESSIN	ENR1LLB0FP	DB00035	Desmopressin				
DESOGESTREL	81K9V7M3A3	DB00304	Desogestrel	DB00304	Desogestrel		
DESONIDE	J280872D1O	DB01260	Desonide	DB01260	Desonide		
DESOXIMETASONE	4E07GXB7AU	DB00547	Desoximetasone	DB00547	Desoximetasone	DB00547	Desoximetasone
DESVENLAFAXINE	NG99554ANW	DB06700	Desvenlafaxine				
DEXAMETHASONE	7S5I7G3JQL	DB01234	Dexamethasone	DB01234	Dexamethasone	DB01234	Dexamethasone
DEXAMETHASONE PHOSPHATE	2BP70L44PR						
DEXBROMPHENIRAMINE	75T64B71RP	DB00405	Dexbrompheniramine	DB00405	Dexbrompheniramine		
DEXCHLORPHENIRAMINE	3Q9Q0B929N						
DEXCHLORPHENIRAMINE MALEATE	B10YD955QW						
DEXLANSOPRAZOLE	UYE4T5I70X						
DEXMEDETOMIDINE	67VB76HONO	DB00633	Dexmedetomidine	DB00633	Dexmedetomidine	DB00633	Dexmedetomidine
DEXMETHYLPHENIDATE	M32RH9MFGP	DB06701	Dexmethylphenidate				
DEXPANTHENOL	1O6C93RI7Z						
DEXRAZOXANE	048L81261F	DB00380	Dexrazoxane	DB00380	Dexrazoxane	DB00380	Dexrazoxane
DEXTRAN 40	K3R6ZDH4DU						
DEXTRAN 70	7SA290YK68						
DEXTROAMPHETAMINE	TZ47U051FI	DB01576	Dextroamphetamine	DB01576	Dextroamphetamine	DB01576	Dextroamphetamine
DEXTROMETHORPHAN	7355X3ROTS	DB00514	Dextromethorphan	DB00514	Dextromethorphan		
DEXTROSE	IY9XDZ35W2						
DIACETYL BENZOYL LATHYROL	8986760I2S						
DIATRIZOIC ACID	5UVC90J1LK	DB00271	Diatrizoate				
DIAZEPAM	Q3JTX2Q7TU	DB00829	Diazepam	DB00829	Diazepam	DB00829	Diazepam
DIAZOXIDE	O5CB12L4FN	DB01119	Diazoxide	DB01119	Diazoxide		
DIBUCAINE	L6JW2TJG99	DB00527	Dibucaine	DB00527	Dibucaine	DB00527	Dibucaine
DICHLORPHENAMIDE	VVJ6673MHY	DB01144	Dichlorphenamide	DB01144	Dichlorphenamide	DB01144	Dichlorphenamide
DICLOFENAC	144O8QL0L1	DB00586	Diclofenac				
DICLOXACILLIN	COF19H7WBK	DB00485	Dicloxacillin	DB00485	Dicloxacillin		
DICYCLOMINE	4KV4X8IF6V	DB00804	Dicyclomine	DB00804	Dicyclomine	DB00804	Dicyclomine
DIDANOSINE	K3GDH6OH08	DB00900	Didanosine	DB00900	Didanosine	DB00900	Didanosine
DIENOGEST	46M3EV8HHE						
DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE	ANQ870JD20						
DIETHYLPROPION	Q94YYU22B8	DB00937	Diethylpropion	DB00937	Diethylpropion	DB00937	Diethylpropion
DIFENOXIN	3ZZ5BJ9F2Q	DB01501	Difenoxin				
DIFLORASONE	T2DHJ9645W	DB00223	Diflorasone	DB00223	Diflorasone	DB00223	Diflorasone
DIFLORASONE DIACETATE	7W2J09SCWX	DB00223	Diflorasone				
DIFLUNISAL	7C546U4DEN	DB00861	Diflunisal	DB00861	Diflunisal		
DIFLUPREDNATE	S8A06QG2QE	DB06781	Difluprednate				
DIGOXIN	73K4184T59	DB00390	Digoxin	DB00390	Digoxin		
DIHYDRO-.ALPHA.-ERGOCRYPTINE	202229IR8Y						
DIHYDROCODEINE	N9I9HDB855	DB01551	Dihydrocodeine			DB01551	Dihydrocodeine
DIHYDROERGOCORNINE	IK4C1OC8NE						
DIHYDROERGOCRISTINE	05D48LUM4Z						
DIHYDROERGOTAMINE	436O5HM03C	DB00320	Dihydroergotamine	DB00320	Dihydroergotamine		
DILL	Y05PC4JZRH						
DILTIAZEM	EE92BBP03H	DB00343	Diltiazem	DB00343	Diltiazem		
DIMENHYDRINATE	JB937PER5C	DB00985	Dimenhydrinate	DB00985	Dimenhydrinate		
DIMERCAPROL	0CPP32S55X	 	 				
DIMETHICONE	92RU3N3Y1O						
DIMETHICONE 410	TYU5GP6XGE						
DIMETHYL SULFOXIDE	YOW8V9698H	DB01093	Dimethyl sulfoxide	DB01093	Dimethyl sulfoxide		
DIMYRISTOYLPHOSPHATIDYLCHOLINE, DL-	U86ZGC74V5						
DIMYRISTOYLPHOSPHATIDYLGLYCEROL, DL-	BI71WT9P3R						
DINOPROSTONE	K7Q1JQR04M	DB00917	Dinoprostone	DB00917	Dinoprostone	DB00917	Dinoprostone
DIOSMETIN	TWZ37241OT						
DIOXYBENZONE	B762XZ551X						
DIPHENHYDRAMINE	8GTS82S83M	DB01075	Diphenhydramine	DB01075	Diphenhydramine	DB01075	Diphenhydramine
DIPHENOXYLATE	73312P173G	DB01081	Diphenoxylate				
DIPIVEFRIN	8Q1PVL543G	DB00449	Dipivefrin	DB00449	Dipivefrin	DB00449	Dipivefrin
DIPYRIDAMOLE	64ALC7F90C	DB00975	Dipyridamole	DB00975	Dipyridamole		
DIPYRITHIONE	9L87N86R9A						
DISOPYRAMIDE	GFO928U8MQ	DB00280	Disopyramide	DB00280	Disopyramide	DB00280	Disopyramide
DISTICHLIS SPICATA POLLEN	GOA51670YV						
DISULFIRAM	TR3MLJ1UAI	DB00822	Disulfiram	DB00822	Disulfiram		
DOBUTAMINE	3S12J47372	DB00841	Dobutamine	DB00841	Dobutamine		
DOCETAXEL	15H5577CQD	DB01248	Docetaxel	DB00731	Nateglinide		
DOCETAXEL ANHYDROUS	699121PHCA	DB01248	Docetaxel	DB00731	Nateglinide		
DOCONEXENT	ZAD9OKH9JC	 	 	DB03756	Docosa-4,7,10,13,16,19-Hexaenoic Acid		
DOCOSANOL	9G1OE216XY	DB00632	Docosanol	DB00632	Docosanol	DB00632	Docosanol
DOCUSATE	M7P27195AG						
DOCUSATE CALCIUM	6K7YS503HC						
DOFETILIDE	R4Z9X1N2ND	DB00204	Dofetilide	DB00204	Dofetilide		
DOLASETRON	82WI2L7Q6E	DB00757	Dolasetron				
DOLICHOVESPULA ARENARIA VENOM PROTEIN	7PI26E943G						
DOLICHOVESPULA MACULATA VENOM PROTEIN	J8DAZ3T66L						
DONEPEZIL	8SSC91326P	DB00843	Donepezil	DB00843	Donepezil	DB00843	Donepezil
DOPAMINE	VTD58H1Z2X	DB00988	Dopamine	DB00988	Dopamine	DB00988	Dopamine
DORIPENEM	BHV525JOBH						
DORNASE ALFA	953A26OA1Y	DB00003	Dornase Alfa				
DORZOLAMIDE	9JDX055TW1	DB00869	Dorzolamide	DB00869	Dorzolamide		
DOXAPRAM	94F3830Q73	DB00561	Doxapram	DB00561	Doxapram		
DOXAZOSIN	NW1291F1W8	DB00590	Doxazosin	DB00590	Doxazosin	DB00590	Doxazosin
DOXEPIN	5ASJ6HUZ7D	DB01142	Doxepin	DB01142	Doxepin		
DOXERCALCIFEROL	3DIZ9LF5Y9						
DOXORUBICIN	80168379AG	DB00997	Doxorubicin	DB00997	Doxorubicin		
DOXYCYCLINE	N12000U13O	DB00254	Doxycycline	DB00254	Doxycycline		
DOXYCYCLINE ANHYDROUS	334895S862						
DOXYLAMINE	95QB77JKPL	DB00366	Doxylamine	DB00366	Doxylamine	DB00366	Doxylamine
DRONABINOL	7J8897W37S	DB00470	Dronabinol			DB00470	Dronabinol
DRONEDARONE	JQZ1L091Y2						
DROPERIDOL	O9U0F09D5X	DB00450	Droperidol	DB00450	Droperidol	DB00450	Droperidol
DROSPIRENONE	N295J34A25	DB01395	Drospirenone	DB01395	Drospirenone	DB01395	Drospirenone
DUCK	28ON068RWM						
DULOXETINE	O5TNM5N07U	DB00476	Duloxetine			DB00476	Duloxetine
DUTASTERIDE	O0J6XJN02I	DB01126	Dutasteride	DB01126	Dutasteride	DB01126	Dutasteride
DYCLONINE	078A24Q30O	DB00645	Dyclonine	DB00645	Dyclonine	DB00645	Dyclonine
DYPHYLLINE	263T0E9RR9	DB00651	Dyphylline	DB00651	Dyphylline	DB00651	Dyphylline
ECALLANTIDE	5Q6TZN2HNM						
ECHOTHIOPHATE	0F350BVT6S	DB01057	Echothiophate	DB01057	Echothiophate		
ECONAZOLE	6Z1Y2V4A7M	DB01127	Econazole	DB00447	Loracarbef		
ECULIZUMAB	A3ULP0F556	DB01257	Eculizumab				
EDETIC ACID	9G34HU7RV0	DB00974	Edetic Acid			DB00974	Edetic Acid
EDROPHONIUM	70FP3JLY7N	DB01010	Edrophonium	DB01010	Edrophonium	DB01010	Edrophonium
EFAVIRENZ	JE6H2O27P8	DB00625	Efavirenz	DB00625	Efavirenz	DB00625	Efavirenz
EFLORNITHINE	ZQN1G5V6SR			DB03856	Alpha-Difluoromethylornithine	DB03856	Alpha-Difluoromethylornithine
EGG	291P45F896						
EGG PHOSPHOLIPIDS	1Z74184RGV						
EGG WHITE	3E0I92Z2GR						
EGG YOLK	4IPS17B70T						
EGGPLANT	W5K7RAS4VK						
ELAEAGNUS ANGUSTIFOLIA POLLEN	68P4F4M6VD						
ELETRIPTAN	22QOO9B8KI	DB00216	Eletriptan	DB00216	Eletriptan	DB00216	Eletriptan
ELM	63POE2M46Y						
ELTROMBOPAG	S56D65XJ9G						
ELYMUS REPENS POLLEN	ON2T85TA2O						
EMEDASTINE	9J1H7Y9OJV	DB01084	Emedastine	DB01084	Emedastine	DB01084	Emedastine
EMTRICITABINE	G70B4ETF4S	DB00879	Emtricitabine	DB00879	Emtricitabine	DB00879	Emtricitabine
ENALAPRIL	69PN84IO1A	DB00584	Enalapril	DB00584	Enalapril		
ENALAPRILAT	GV0O7ES0R3						
ENALAPRILAT ANHYDROUS	Q508Q118JM						
ENFLURANE	91I69L5AY5	DB00228	Enflurane	DB00228	Enflurane		
ENFUVIRTIDE	19OWO1T3ZE	DB00109	Enfuvirtide				
ENGLISH SOLE	00CR8124AS						
ENGLISH WALNUT	1V3SHR7QB7						
ENOXAPARIN	E47C0NF7LV	DB01225	Enoxaparin	DB01109	Heparin		
ENSULIZOLE	9YQ9DI1W42						
ENTACAPONE	4975G9NM6T	DB00494	Entacapone	DB00494	Entacapone	DB00494	Entacapone
ENTECAVIR	5968Y6H45M	DB00442	Entecavir				
ENZACAMENE	8I3XWY40L9						
EPHEDRINE	GN83C131XS	DB01364	Ephedrine	DB01364	Ephedrine	DB01364	Ephedrine
EPICOCCUM NIGRUM	87U156LEN7						
EPICRIPTINE	5M64643B5U						
EPIDERMOPHYTON FLOCCOSUM	6JR6JTN25S						
EPINASTINE	Q13WX941EF	DB00751	Epinastine	DB00751	Epinastine	DB00751	Epinastine
EPINEPHRINE	YKH834O4BH	DB00668	Epinephrine	DB00668	Epinephrine	DB00668	Epinephrine
EPIRUBICIN	3Z8479ZZ5X	DB00445	Epirubicin	DB00445	Epirubicin		
EPLERENONE	6995V82D0B	DB00700	Eplerenone	DB00700	Eplerenone		
EPOPROSTENOL	DCR9Z582X0	DB01240	Epoprostenol	DB01240	Epoprostenol		
EPROSARTAN	2KH13Z0S0Y	DB00876	Eprosartan	DB00876	Eprosartan		
EPTIFIBATIDE	NA8320J834	DB00063	Eptifibatide				
EQUINE THYMOCYTE IMMUNE GLOBULIN	475247QF1Z						
EQUUS CABALLUS HAIR	4F35XG0149						
EQUUS CABALLUS SKIN	88VZV9HGT4						
ERGOCALCIFEROL	VS041H42XC	DB00153	Ergocalciferol	DB00153	Ergocalciferol	DB00153	Ergocalciferol
ERGOTAMINE	PR834Q503T	DB00696	Ergotamine	DB00320	Dihydroergotamine		
ERIBULIN	LR24G6354G						
ERLOTINIB	J4T82NDH7E	DB00530	Erlotinib	DB00530	Erlotinib	DB00530	Erlotinib
ERTAPENEM	G32F6EID2H	DB00303	Ertapenem	DB00303	Ertapenem		
ERYTHROMYCIN	63937KV33D	DB00199	Erythromycin	DB00199	Erythromycin		
ERYTHROPOIETIN	64FS3BFH5W	DB00016	Epoetin alfa				
ESCITALOPRAM	4O4S742ANY	DB01175	Escitalopram	DB01175	Escitalopram		
ESMOLOL	MDY902UXSR	DB00187	Esmolol	DB00187	Esmolol		
ESOMEPRAZOLE	N3PA6559FT	DB00736	Esomeprazole	DB00736	Esomeprazole		
ESOMEPRAZOLE MAGNESIUM	R6DXU4WAY9	DB00736	Esomeprazole				
ESTAZOLAM	36S3EQV54C	DB01215	Estazolam	DB01215	Estazolam	DB01215	Estazolam
ESTRADIOL	4TI98Z838E	DB00783	Estradiol	DB00783	Estradiol	DB00783	Estradiol
ESTRADIOL CYPIONATE	7E1DV054LO						
ESTRADIOL VALERATE	OKG364O896						
ESTRAMUSTINE	35LT29625A	DB01196	Estramustine	DB01196	Estramustine		
ESTROGENS, CONJUGATED	IU5QR144QX	DB00286	Conjugated Estrogens				
ESTROGENS, CONJUGATED SYNTHETIC A	JM2621P2LS						
ESTROGENS, CONJUGATED SYNTHETIC B	8L6LAK9BTR						
ESTROGENS, ESTERIFIED	3ASP8Q3768						
ESTRONE	2DI9HA706A	DB00655	Estrone	DB00655	Estrone	DB00655	Estrone
ESTROPIPATE	SVI38UY019	DB04574	Estropipate				
ESZOPICLONE	UZX80K71OE	DB00402	Eszopiclone	DB00402	Eszopiclone	DB00402	Eszopiclone
ETANERCEPT	OP401G7OJC	DB00005	Etanercept				
ETHACRYNIC ACID	M5DP350VZV	DB00903	Ethacrynic acid	DB00903	Ethacrynic acid	DB00903	Ethacrynic acid
ETHAMBUTOL	8G167061QZ	DB00330	Ethambutol	DB00330	Ethambutol		
ETHINYL ESTRADIOL	423D2T571U	DB00977	Ethinyl Estradiol	DB00303	Ertapenem	DB00977	Ethinyl Estradiol
ETHIONAMIDE	OAY8ORS3CQ	DB00609	Ethionamide	DB00609	Ethionamide	DB00609	Ethionamide
ETHOSUXIMIDE	5SEH9X1D1D	DB00593	Ethosuximide	DB00593	Ethosuximide		
ETHOTOIN	46QG38NC4U	DB00754	Ethotoin	DB00754	Ethotoin		
ETHYL SALICYLATE	555U6TZ2MV						
ETHYNODIOL	9E01C36A9S	DB00823	Ethynodiol Diacetate				
ETIDRONIC ACID	M2F465ROXU	DB01077	Etidronic acid	DB01077	Etidronic acid	DB01077	Etidronic acid
ETODOLAC	2M36281008	DB00749	Etodolac	DB00749	Etodolac		
ETOMIDATE	Z22628B598	DB00292	Etomidate	DB00292	Etomidate		
ETONOGESTREL	304GTH6RNH	DB00294	Etonogestrel	DB00294	Etonogestrel		
ETOPOSIDE	6PLQ3CP4P3	DB00773	Etoposide	DB00773	Etoposide		
ETRAVIRINE	0C50HW4FO1					DB07191	4-({6-AMINO-5-BROMO-2-[(4-CYANOPHENYL)AMINO]PYRIMIDIN-4-YL}OXY)-3,5-DIMETHYLBENZONITRILE
EUCALYPTOL	RV6J6604TK	DB03852	Eucalyptol	DB03852	Eucalyptol	DB03852	Eucalyptol
EUCALYPTUS GLOBULUS POLLEN	7XW7TB10X9						
EUCALYPTUS OIL	2R04ONI662						
EUGENOL	3T8H1794QW						
EUPATORIUM CAPILLIFOLIUM POLLEN	B67NF86HF0						
EUROPEAN PILCHARD	76780GX08D						
EUROTIUM HERBARIORUM	49W168AES4						
EVEROLIMUS	9HW64Q8G6G	DB01590	Everolimus				
EXAMETAZIME	G29272NCKL						
EXEMESTANE	NY22HMQ4BX	DB00990	Exemestane	DB00990	Exemestane	DB00990	Exemestane
EXENATIDE	9P1872D4OL	DB01276	Exenatide				
EZETIMIBE	EOR26LQQ24	DB00973	Ezetimibe	DB00973	Ezetimibe		
EZOGABINE	12G01I6BBU						
FAGUS GRANDIFOLIA POLLEN	34X886W1H4						
FAMCICLOVIR	QIC03ANI02	DB00426	Famciclovir	DB00426	Famciclovir		
FAMOTIDINE	5QZO15J2Z8	DB00927	Famotidine	DB00927	Famotidine	DB00927	Famotidine
FANOLESOMAB	67ETM2384N						
FAT, HARD	8334LX7S21						
FEBUXOSTAT	101V0R1N2E						
FELBAMATE	X72RBB02N8	DB00949	Felbamate	DB00949	Felbamate		
FELIS CATUS DANDER	ZDN2AC0L08						
FELIS CATUS HAIR	1564HD0N96						
FELIS CATUS SKIN	5308ED00EL						
FELODIPINE	OL961R6O2C	DB01023	Felodipine	DB01023	Felodipine		
FENOFIBRATE	U202363UOS	DB01039	Fenofibrate	DB01039	Fenofibrate		
FENOFIBRIC ACID	BGF9MN2HU1	DB01039	Fenofibrate				
FENOLDOPAM	INU8H2KAWG	DB00800	Fenoldopam	DB00800	Fenoldopam		
FENOPROFEN	RA33EAC7KY	DB00573	Fenoprofen	DB00573	Fenoprofen		
FENTANYL	UF599785JZ	DB00813	Fentanyl	DB00813	Fentanyl	DB00813	Fentanyl
FERRIC CATION	91O4LML611						
FERRIC OXIDE RED	1K09F3G675						
FERROUS ASPARTO GLYCINATE	H7426RGB3L						
FERROUS CATION	GW89581OWR						
FERUMOXSIL	6HJV9H13XS						
FERUMOXYTOL NON-STOICHIOMETRIC MAGNETITE	CLH5FT6412						
FESOTERODINE	621G617227	DB06702	Fesoterodine				
FESTUCA PRATENSIS POLLEN	A0WFQ8P6N1						
FEXOFENADINE	E6582LOH6V	DB00950	Fexofenadine	DB00950	Fexofenadine		
FIDAXOMICIN	Z5N076G8YQ						
FIG	TGD87RII2U						
FILGRASTIM	PVI5M0M1GW	DB00099	Filgrastim				
FINASTERIDE	57GNO57U7G	DB01216	Finasteride	DB01216	Finasteride		
FINGOLIMOD	3QN8BYN5QF						
FISH OIL	XGF7L72M0F						
FLAVOXATE	3E74Y80MEY	DB01148	Flavoxate	DB00687	Fludrocortisone		
FLAX SEED	4110YT348C						
FLECAINIDE	K94FTS1806	DB01195	Flecainide			DB01195	Flecainide
FLORBETAPIR F-18	6W15Z5R0RU						
FLOXURIDINE	039LU44I5M	DB00322	Floxuridine	DB00322	Floxuridine	DB00322	Floxuridine
FLUCONAZOLE	8VZV102JFY	DB00196	Fluconazole	DB00196	Fluconazole		
FLUCYTOSINE	D83282DT06	DB01099	Flucytosine	DB01099	Flucytosine	DB01099	Flucytosine
FLUDARABINE	P2K93U8740	DB01073	Fludarabine				
FLUDEOXYGLUCOSE F-18	0Z5B2CJX4D						
FLUDROCORTISONE	U0476M545B	DB00687	Fludrocortisone	DB00687	Fludrocortisone	DB00687	Fludrocortisone
FLUMAZENIL	40P7XK9392	DB01205	Flumazenil	DB00751	Epinastine		
FLUNISOLIDE	QK4DYS664X	DB00180	Flunisolide	DB00180	Flunisolide		
FLUNISOLIDE ANHYDROUS	78M02AA8KF						
FLUOCINOLONE	CT1IX58L9S						
FLUOCINOLONE ACETONIDE	0CD5FD6S2M	DB00591	Fluocinolone Acetonide				
FLUOCINONIDE	2W4A77YPAN	DB01047	Fluocinonide			DB01047	Fluocinonide
FLUORESCEIN	TPY09G7XIR	DB00693	Fluorescein	DB00693	Fluorescein		
FLUORIDE ION	Q80VPU408O						
FLUOROMETHOLONE	SV0CSG527L	DB00324	Fluorometholone			DB00324	Fluorometholone
FLUOROURACIL	U3P01618RT	DB00544	Fluorouracil	DB00544	Fluorouracil	DB00544	Fluorouracil
FLUOXETINE	01K63SUP8D	DB00472	Fluoxetine	DB00472	Fluoxetine	DB00472	Fluoxetine
FLUOXYMESTERONE	9JU12S4YFY	DB01185	Fluoxymesterone	DB00852	Pseudoephedrine		
FLUPHENAZINE	S79426A41Z	DB00623	Fluphenazine	DB00623	Fluphenazine	DB00623	Fluphenazine
FLUPHENAZINE DECANOATE	FMU62K1L3C	DB00623	Fluphenazine				
FLURANDRENOLIDE	8EUL29XUQT	DB00846	Flurandrenolide			DB00846	Flurandrenolide
FLURAZEPAM	IHP475989U	DB00690	Flurazepam				
FLURBIPROFEN	5GRO578KLP	DB00712	Flurbiprofen	DB00712	Flurbiprofen		
FLUTAMIDE	76W6J0943E	DB00499	Flutamide	DB00499	Flutamide	DB00499	Flutamide
FLUTICASONE	CUT2W21N7U						
FLUVASTATIN	4L066368AS	DB01095	Fluvastatin	DB01095	Fluvastatin		
FLUVOXAMINE	O4L1XPO44W	DB00176	Fluvoxamine	DB00176	Fluvoxamine		
FOLIC ACID	935E97BOY8	DB00158	Folic Acid	DB00158	Folic Acid	DB00158	Folic Acid
FOLLICLE STIMULATING HORMONE BETA POLYPEPTIDE	8W9AS43IDH						
FOLLITROPIN	076WHW89TW	DB00066	Follitropin beta				
FOMEPIZOLE	83LCM6L2BY	DB01213	Fomepizole	DB00546	Adinazolam	DB01213	Fomepizole
FONDAPARINUX	J177FOW5JL						
FORMALDEHYDE	1HG84L3525	DB03843	Formaldehyde	DB03843	Formaldehyde	DB03843	Formaldehyde
FORMOTEROL	5ZZ84GCW8B	DB00983	Formoterol	DB02956	Pentasulfide-Sulfur		
FOSCARNET	364P9RVW4X	DB00529	Foscarnet	DB00529	Foscarnet		
FOSFOMYCIN	2N81MY12TE	DB00828	Fosfomycin				
FOSINOPRIL	R43D2573WO	DB00492	Fosinopril	DB00492	Fosinopril		
FOSINOPRILAT	S312EY6ZT8						
FOSPHENYTOIN	B4SF212641	DB01320	Fosphenytoin				
FOSPROPOFOL	LZ257RZP7K	DB06716	Fospropofol				
FRAXINUS AMERICANA POLLEN	G684LX721Q						
FRAXINUS LATIFOLIA POLLEN	1FH355G8HF						
FRAXINUS PENNSYLVANICA POLLEN	2WZG2G15WX						
FRAXINUS VELUTINA POLLEN	LJT6I6Z8FD						
FROVATRIPTAN	H82Q2D5WA7	DB00998	Frovatriptan			DB00998	Frovatriptan
FRUCTOSE	6YSS42VSEV	DB04173	Fructose	DB04173	Fructose		
FULVESTRANT	22X328QOC4	DB00947	Fulvestrant	DB00947	Fulvestrant		
FUROSEMIDE	7LXU5N7ZO5	DB00695	Furosemide	DB00695	Furosemide	DB00695	Furosemide
FUSARIUM COMPACTUM	V4OQR60A5P						
FUSARIUM OXYSPORUM	5398RXP8KU						
FUSARIUM OXYSPORUM VASINFECTUM	6M98DC08TZ						
GABAPENTIN	6CW7F3G59X	DB00996	Gabapentin				
GADOBENIC ACID	15G12L5X8K	DB00743	Gadobenate Dimeglumine				
GADODIAMIDE	84F6U3J2R6	DB00225	Gadodiamide				
GADOLINIUM CATION (3+)	AZV954TZ9N						
GADOPENTETATE	V7OK6J19HQ						
GADOTERIDOL	0199MV609F	DB00597	Gadoteridol				
GADOVERSETAMIDE	RLM74T3Z9D	DB00538	Gadoversetamide				
GADOXETIC ACID	3QJA87N40S						
GALANTAMINE	0D3Q044KCA	DB00674	Galantamine			DB00674	Galantamine
GALLIUM CATION	F7K5MP217W						
GALLIUM CATION GA-67	99T03J52W0						
GALLUS GALLUS FEATHER	1FCM16V0FV						
GALSULFASE	59UA429E5G	DB01279	Galsulfase				
GANCICLOVIR	P9G3CKZ4P5	DB01004	Ganciclovir	DB01004	Ganciclovir	DB01004	Ganciclovir
GANIRELIX	IX503L9WN0						
GARLIC	V1V998DC17						
GATIFLOXACIN	L4618BD7KJ	DB01044	Gatifloxacin	DB01044	Gatifloxacin		
GATIFLOXACIN ANHYDROUS	81485Y3A9A						
GEFITINIB	S65743JHBS	DB00317	Gefitinib	DB00317	Gefitinib		
GELATIN	2G86QN327L						
GEMCITABINE	B76N6SBZ8R	DB00441	Gemcitabine	DB00441	Gemcitabine	DB00441	Gemcitabine
GEMFIBROZIL	Q8X02027X3	DB01241	Gemfibrozil	DB01241	Gemfibrozil		
GEMIFLOXACIN	OKR68Y0E4T	DB01155	Gemifloxacin	DB01155	Gemifloxacin		
GEMTUZUMAB OZOGAMICIN	8GZG754X6M	DB00056	Gemtuzumab ozogamicin				
GENTAMICIN	T6Z9V48IKG	DB00798	Gentamicin	DB00798	Gentamicin		
GENTIAN VIOLET	J4Z741D6O5	DB00406	Gentian Violet				
GEOTRICHUM CANDIDUM	5964J742O8						
GINGER	C5529G5JPQ						
GINKGO	19FUJ2C58T	DB01381	Ginkgo biloba				
GLATIRAMER	U782C039QP						
GLIMEPIRIDE	6KY687524K	DB00222	Glimepiride	DB00222	Glimepiride	DB00222	Glimepiride
GLIPIZIDE	X7WDT95N5C	DB01067	Glipizide			DB01067	Glipizide
GLUCAGON	76LA80IG2G	DB00040	Glucagon recombinant				
GLUCARPIDASE	2GFP9BJD79						
GLUCONIC ACID	R4R8J0Q44B	DB04304	Gluconic Acid	DB04304	Gluconic Acid		
GLUTAMIC ACID	3KX376GY7L	DB00142	L-Glutamic Acid	DB00142	L-Glutamic Acid		
GLUTAMINE	0RH81L854J	DB00130	L-Glutamine	DB00130	L-Glutamine	DB02174	D-Glutamine
GLUTATHIONE	GAN16C9B8O	DB00143	Glutathione	DB00143	Glutathione	DB00143	Glutathione
GLYBURIDE	SX6K58TVWC	DB01016	Glyburide	DB01016	Glyburide	DB01016	Glyburide
GLYCERIN	PDC6A3C0OX	DB04077	Glycerol	DB04077	Glycerol	DB04077	Glycerol
GLYCINE	TE7660XO1C	DB00145	Glycine	DB00145	Glycine	DB00145	Glycine
GLYCOLIC ACID	0WT12SX38S	DB03085	Hydroxyacetic Acid				
GLYCOPYRROLATE	V92SO9WP2I	DB00986	Glycopyrrolate				
GLYCOPYRRONIUM	A14FB57V1D						
GLYCYRRHIZINATE DIPOTASSIUM	CA2Y0FE3FX						
GOAT MILK	XE5K5I4RP7						
GOLD	79Y1949PYO						
GOLIMUMAB	91X1KLU43E						
GONADOTROPHIN, CHORIONIC	20ED16GHEB						
GOOSE	83DC4O5TD3						
GOSERELIN	0F65R8P09N	DB00014	Goserelin			DB00014	Goserelin
GRAIN MILL DUST	7779K0857Y						
GRAMICIDIN	5IE62321P4						
GRANISETRON	WZG3J2MCOL	DB00889	Granisetron			DB00889	Granisetron
GRAPEFRUIT	O82C39RR8C						
GREEN BELL PEPPER	4J4DOU3HEK						
GREEN OLIVE	6HD2W46UEG						
GRISEOFULVIN	32HRV3E3D5	DB00400	Griseofulvin	DB00400	Griseofulvin		
GUAIFENESIN	495W7451VQ	DB00874	Guaifenesin			DB00874	Guaifenesin
GUANABENZ	GGD30112WC	DB00629	Guanabenz				
GUANFACINE	30OMY4G3MK	DB01018	Guanfacine			DB01018	Guanfacine
GUANIDINE	JU58VJ6Y3B	DB00536	Guanidine				
HADDOCK	0WLY635722						
HAEMATONECTRIA HAEMATOCOCCA	7TLR512M4A						
HALCINONIDE	SI86V6QNEG						
HALOBETASOL	9P6159HM7T	DB00596	Halobetasol Propionate				
HALOPERIDOL	J6292F8L3D	DB00502	Haloperidol	DB00502	Haloperidol		
HALOTHANE	UQT9G45D1P	DB01159	Halothane	DB01159	Halothane		
HELIANTHUS ANNUUS POLLEN	28D6K7E9IP						
HELIUM	206GF3GB41						
HELMINTHOSPORIUM SOLANI	U6Z259H815						
HEME IRON POLYPEPTIDE	31VDO12CJY	 	 				
HEMIN	743LRP9S7N						
